ProtocolTime	Work

100	71.884618
600	16.348740
1100	9.004747
1600	6.247360
2100	4.898938
2600	3.883758
3100	3.317630
3600	2.885840
4100	2.582658
4600	2.236257
5100	2.002651
5600	1.851040
6100	1.661688
6600	1.476960
7100	1.497719
7600	1.379760
8100	1.260521
8600	1.242369
9100	1.142904
9600	1.125673
10100	1.031358
10600	0.966502
11100	0.973428
11600	0.854907
12100	0.840793
12600	0.821551
13100	0.817161
13600	0.753470
14100	0.724456
14600	0.683848
15100	0.738658
15600	0.658111
16100	0.649025
16600	0.636695
17100	0.633125
17600	0.605256
18100	0.533780
18600	0.578216
19100	0.566785
19600	0.523444
20100	0.523302
20600	0.466000
21100	0.482479
21600	0.490917
22100	0.499932
22600	0.473838
23100	0.437719
23600	0.419401
24100	0.416971
24600	0.432167
25100	0.401248
25600	0.429897
26100	0.407040
26600	0.405004
27100	0.390796
27600	0.365661
28100	0.374254
28600	0.354639
29100	0.329293
29600	0.406259
30100	0.370086
30600	0.335587
31100	0.320658
31600	0.373781
32100	0.310418
32600	0.334166
33100	0.285905
33600	0.292978
34100	0.283358
34600	0.277481
35100	0.284712
35600	0.303093
