ProtocolTime	Work

100	136.892382
600	43.613939
1100	29.192697
1600	24.855086
2100	25.359608
2600	24.581901
3100	27.271702
3600	28.408344
4100	31.358400
4600	32.440537
5100	36.532401
5600	37.475003
6100	39.368761
6600	44.023355
7100	46.418024
7600	48.183017
8100	50.754662
8600	54.691947
9100	55.049985
9600	59.826170
10100	60.323538
10600	67.134880
11100	66.834479
11600	71.398505
12100	73.280180
12600	76.274364
13100	80.061625
13600	80.268750
14100	82.310811
14600	86.904264
15100	89.258684
15600	92.591757
16100	95.252798
16600	96.440955
17100	103.288296
17600	102.727035
18100	109.649533
18600	110.973469
19100	116.519187
19600	117.546708
20100	118.636359
20600	119.529990
21100	124.172414
21600	130.073022
22100	130.937893
22600	137.778481
23100	138.431625
23600	140.145629
24100	142.836718
24600	146.505517
25100	149.208950
25600	155.028323
26100	157.279526
26600	158.545748
27100	160.282979
27600	163.131721
28100	164.106330
28600	166.929122
29100	171.681552
29600	177.062139
30100	177.872975
30600	181.779356
31100	182.767885
31600	189.658513
32100	190.234896
32600	193.799819
33100	192.298835
33600	195.712164
34100	202.318963
34600	203.546530
35100	206.322964
35600	210.221227
