ProtocolTime	Work

100	208.777000
600	59.962679
1100	38.197445
1600	31.102446
2100	30.258546
2600	28.465659
3100	30.589332
3600	31.294184
4100	33.941059
4600	34.676795
5100	38.535052
5600	39.326043
6100	41.030448
6600	45.500315
7100	47.915743
7600	49.562777
8100	52.015183
8600	55.934317
9100	56.192890
9600	60.951843
10100	61.354896
10600	68.101382
11100	67.807907
11600	72.253411
12100	74.120972
12600	77.095915
13100	80.878786
13600	81.022219
14100	83.035267
14600	87.588112
15100	89.997342
15600	93.249868
16100	95.901823
16600	97.077650
17100	103.921421
17600	103.332291
18100	110.183313
18600	111.551685
19100	117.085972
19600	118.070152
20100	119.159661
20600	119.995990
21100	124.654893
21600	130.563939
22100	131.437825
22600	138.252318
23100	138.869344
23600	140.565030
24100	143.253689
24600	146.937684
25100	149.610197
25600	155.458220
26100	157.686566
26600	158.950752
27100	160.673775
27600	163.497382
28100	164.480584
28600	167.283761
29100	172.010846
29600	177.468398
30100	178.243061
30600	182.114943
31100	183.088542
31600	190.032294
32100	190.545313
32600	194.133985
33100	192.584740
33600	196.005142
34100	202.602322
34600	203.824011
35100	206.607676
35600	210.524320
