ProtocolTime	Work

100	131.872209
200	80.250008
300	59.705314
400	52.860968
500	50.446564
600	48.504337
700	49.736891
800	53.292275
900	54.042167
1000	57.207976
1100	59.886280
1200	62.794407
1300	69.087183
1400	68.249434
1500	74.265392
1600	75.658092
1700	80.320008
1800	80.728354
1900	86.062403
2000	91.417472
2100	94.060461
2200	100.129513
2300	103.988649
2400	106.346779
2500	109.941131
2600	114.518484
2700	117.724919
2800	122.819715
2900	126.617381
3000	131.303116
3100	133.206522
3200	140.065806
3300	145.800845
3400	145.627665
3500	151.886058
3600	156.913439
3700	155.449403
3800	163.781491
3900	165.001691
4000	169.657217
4100	174.421677
4200	180.782839
4300	182.434461
4400	186.900642
4500	194.453233
4600	198.558213
4700	200.595801
4800	205.568875
4900	204.370250
5000	214.791438
5100	212.671596
5200	218.227786
5300	221.677846
5400	225.770168
5500	235.486903
5600	234.746044
5700	245.599251
5800	245.531485
5900	252.349869
6000	254.808982
6100	255.905520
6200	260.785182
6300	267.432303
6400	267.207237
6500	275.039609
6600	279.444939
6700	281.482982
6800	287.178292
6900	294.206781
7000	292.733359
7100	296.851925
7200	303.438726
