ProtocolTime	Work

50	2832.908350
150	6089.602583
250	8997.594800
350	10528.046589
450	15002.141499
550	20935.013132
650	25319.798727
750	22807.338367
850	29758.507759
950	34567.556006
1050	38469.817322
1150	37630.475294
1250	43297.831114
1350	55073.893665
1450	49453.084772
1550	46729.015553
1650	62298.734923
1750	69529.891346
1850	65239.851279
1950	71260.969098
2050	65393.374889
2150	81521.298762
2250	77393.552661
2350	91236.838126
2450	98152.551054
2550	84506.964627
2650	111704.951315
2750	94741.179339
2850	108040.647229
2950	114935.259847
3050	118493.750611
3150	122460.482577
3250	113946.149156
3350	125652.697101
3450	114501.540193
3550	97865.906413
3650	157023.803762
3750	148131.338889
3850	154575.637245
3950	131204.348368
4050	141789.644295
4150	137506.980508
4250	159059.759047
4350	182944.535812
4450	159063.009254
4550	166224.872434
4650	201761.862969
4750	181043.982785
4850	184750.835152
4950	184779.384476
5050	177801.147403
5150	167003.054835
5250	195579.754809
5350	206688.732941
5450	208565.631277
5550	206043.899856
5650	216180.685930
5750	163633.775043
5850	225261.981976
5950	194963.878821
6050	243486.142429
6150	231176.964000
6250	219686.051113
6350	238964.799316
6450	230719.312368
6550	265371.938139
6650	266095.986043
6750	250897.332819
6850	273118.787383
6950	295495.577812
7050	249243.189024
7150	251180.952528
