ProtocolTime	Work

5	1151.871910
10	1027.250120
15	950.067809
20	898.679818
25	865.433120
30	854.781242
35	864.240795
40	888.099033
45	900.457335
50	922.832355
55	945.369428
60	983.783058
65	981.107683
70	1067.048501
75	1105.299920
80	1161.619419
85	1174.778646
90	1234.626539
95	1253.461152
100	1306.295943
105	1365.635242
110	1382.321721
115	1465.972701
120	1529.025183
125	1584.546571
130	1612.329280
135	1709.189546
140	1733.227044
145	1782.908995
150	1834.164384
155	1849.102259
160	1960.706102
165	2019.295700
170	2077.351699
175	2110.613285
180	2174.033022
185	2182.136464
190	2332.793612
195	2313.221033
200	2432.954387
205	2473.144992
210	2549.597906
215	2535.104618
220	2570.754448
225	2699.059811
230	2745.697549
235	2831.000456
240	2852.336277
245	2904.780110
250	2959.179519
255	3071.111132
260	3069.223341
265	3109.313265
270	3269.334421
275	3268.646703
280	3311.277237
285	3359.945624
290	3461.630090
295	3541.866714
300	3566.007773
