ProtocolTime	Work

5	6009.459032
10	3010.265080
15	2016.959602
20	1528.372930
25	1231.072640
30	1043.998803
35	901.675514
40	798.600626
45	717.904839
50	659.811896
55	613.286618
60	573.127348
65	544.823720
70	514.743588
75	492.096767
80	466.430384
85	455.107852
90	439.738948
95	425.504619
100	420.760524
105	403.460597
110	406.169258
115	406.706946
120	400.700368
125	390.683981
130	379.686893
135	381.969410
140	376.199544
145	384.950236
150	373.396810
155	369.807849
160	376.370683
165	381.076015
170	375.709982
175	383.860096
180	385.828951
185	376.839706
190	395.712514
195	398.427333
200	390.221049
205	388.323001
210	398.834146
215	390.946565
220	406.149789
225	401.909470
230	403.985635
235	402.746463
240	412.983824
245	413.894225
250	410.411260
255	422.529953
260	426.850033
265	427.310056
270	432.099951
275	445.206265
280	448.887233
285	453.695845
290	450.214612
295	461.142203
300	455.783904
