ProtocolTime	Work

5	1144.325999
10	995.233212
15	891.698574
20	806.205385
25	741.562355
30	692.782284
35	658.356856
40	633.299073
45	594.984742
50	573.092903
55	559.336729
60	554.314906
65	535.264105
70	524.076081
75	515.956373
80	535.104066
85	529.389696
90	525.562022
95	533.257731
100	524.609015
105	530.072800
110	536.140332
115	530.262612
120	552.589516
125	542.796028
130	554.357361
135	578.305954
140	578.866623
145	602.599581
150	603.838142
155	612.431135
160	611.351009
165	621.787675
170	641.654952
175	654.476778
180	643.296692
185	662.711850
190	690.008151
195	706.200145
200	692.850658
205	718.405475
210	732.957621
215	744.655754
220	759.836551
225	779.767569
230	775.950160
235	783.795611
240	802.872986
245	826.521981
250	815.256927
255	835.759411
260	850.237625
265	869.252555
270	851.594586
275	896.365095
280	907.542868
285	928.685256
290	954.942620
295	959.674329
300	931.521645
