ProtocolTime	Work

5	5985.931451
10	3088.636648
15	2123.324468
20	1657.739288
25	1467.269424
30	1437.118703
35	1323.544464
40	1145.683782
45	1206.922503
50	1223.294043
55	1280.790742
60	1223.664222
65	1246.077912
70	1161.752167
75	1370.935636
80	1411.765125
85	1352.399251
90	1366.410540
95	1300.830952
100	1530.620441
105	1603.954495
110	1488.878524
115	1595.781787
120	1622.441425
125	1734.808337
130	1739.188275
135	1792.634979
140	1876.789779
145	1818.804156
150	1932.480205
155	2051.351215
160	1978.010889
165	1999.548946
170	2033.559649
175	2317.923873
180	2367.497483
185	2332.227135
190	2492.196698
195	2443.163769
200	2705.999272
205	2521.001298
210	2702.454902
215	2473.808466
220	2651.379762
225	2953.122641
230	2905.762871
235	2995.918047
240	3226.120483
245	2921.607860
250	2947.050956
255	3187.314047
260	3173.379544
265	3150.905598
270	3276.294918
275	3569.476104
280	3328.267307
285	3576.258989
290	3630.921976
295	3587.430354
300	3631.458976
