ProtocolTime	Work

100	258932.784506
150	387527.004152
200	516254.790978
250	644672.446816
300	773816.441419
350	901538.657885
400	1029918.663508
450	1158919.595089
500	1287317.977475
550	1415864.983923
600	1544672.163900
650	1673481.053070
700	1802157.464006
750	1931025.001362
800	2059609.340256
850	2187949.054568
900	2317076.923304
950	2445424.791428
1000	2573993.907036
1050	2702653.233830
1100	2831818.626372
1150	2960173.506282
1200	3088378.270052
1250	3218191.896329
1300	3346875.672474
1350	3476208.011337
1400	3604353.607466
1450	3732642.390043
1500	3861598.140784
1550	3990439.759690
1600	4118630.206909
1650	4248122.591477
1700	4376445.444501
1750	4504847.125334
1800	4633643.219103
1850	4762148.348143
1900	4891519.524935
1950	5020152.918343
2000	5148149.093560
2050	5276904.541748
2100	5405724.978172
2150	5534928.134753
2200	5662952.793460
2250	5792026.706719
2300	5919754.124554
2350	6049388.329692
2400	6177536.097675
2450	6305545.711209
2500	6435133.732784
2550	6563475.912168
2600	6692334.430084
2650	6820763.639216
2700	6949491.543595
2750	7078786.773995
2800	7207303.822945
2850	7335927.997184
2900	7463411.116623
2950	7593709.537234
3000	7721162.256843
3050	7851040.565960
3100	7979269.268090
3150	8108246.915035
3200	8236724.369915
3250	8365096.035902
3300	8493510.690216
3350	8622365.904168
3400	8750381.807418
3450	8879758.236192
3500	9008536.292900
3550	9136764.056294
3600	9265112.191293
3650	9394021.325175
