ProtocolTime	Work

5	1146.360637
10	1005.967967
15	909.032632
20	838.416222
25	792.241185
30	742.506960
35	720.249342
40	699.117571
45	701.034193
50	683.140646
55	686.895966
60	701.515103
65	708.147807
70	713.663903
75	713.476725
80	724.278006
85	738.214292
90	767.804285
95	760.946016
100	787.111644
105	804.512249
110	833.423292
115	867.020692
120	858.855498
125	876.939748
130	920.594669
135	951.715538
140	965.323253
145	982.334914
150	1003.627724
155	1059.621745
160	1078.803336
165	1090.522314
170	1099.475489
175	1139.213540
180	1153.295359
185	1183.944109
190	1205.331847
195	1208.509141
200	1269.031042
205	1269.174828
210	1360.463127
215	1351.109962
220	1375.122868
225	1405.279347
230	1445.795674
235	1461.110106
240	1496.487783
245	1513.515306
250	1545.337155
255	1541.061720
260	1610.368225
265	1614.015119
270	1636.060184
275	1688.586935
280	1696.857326
285	1736.121316
290	1776.427971
295	1783.048459
300	1827.683246
