ProtocolTime	Work

5	1.875000
10	0.937500
15	0.625000
20	0.468750
25	0.375000
30	0.312500
35	0.267857
40	0.234375
45	0.208333
50	0.187500
55	0.170455
60	0.156250
65	0.144231
70	0.133929
75	0.125000
80	0.117188
85	0.110294
90	0.104167
95	0.098684
100	0.093750
105	0.089286
110	0.085227
115	0.081522
120	0.078125
125	0.075000
130	0.072115
135	0.069444
140	0.066964
145	0.064655
150	0.062500
155	0.060484
160	0.058594
165	0.056818
170	0.055147
175	0.053571
180	0.052083
185	0.050676
190	0.049342
195	0.048077
200	0.046875
