ProtocolTime	Work

5	5.903729
10	11.695151
15	17.826346
20	24.087008
25	29.993391
30	35.826905
35	42.437562
40	48.645375
45	54.492187
50	60.694107
55	66.304615
60	73.225487
65	79.850151
70	84.688236
75	91.328104
80	97.391313
85	103.939677
90	109.937638
95	116.631120
100	121.549368
105	128.190186
110	133.622023
115	140.039507
120	146.491714
125	151.553631
130	159.258490
135	165.084515
140	171.063228
145	176.350570
150	183.593000
155	190.150725
160	196.190625
165	200.743278
170	207.926305
175	213.504890
180	221.110961
185	226.135587
190	231.737216
195	238.568258
200	243.497337
