ProtocolTime	Work

5	58.550273
10	29.896317
15	20.518396
20	16.241154
25	13.766301
30	12.258057
35	11.042883
40	10.396844
45	9.935113
50	9.703898
55	9.830181
60	9.666748
65	9.505234
70	9.732653
75	10.085488
80	9.962224
85	9.968507
90	10.534369
95	10.679839
100	10.814030
105	11.263466
110	11.379895
115	11.582418
120	12.655164
125	12.368930
130	12.848719
135	13.270463
140	13.700711
145	13.743694
150	13.988091
155	14.248267
160	14.405189
165	14.518596
170	15.456708
175	15.970311
180	16.033943
185	15.781285
190	16.508046
195	16.881317
200	17.922383
