ProtocolTime	Work

5	2.141636
10	4.289541
15	6.488628
20	8.626948
25	10.835950
30	12.944411
35	15.147261
40	17.267561
45	19.399653
50	21.665849
55	23.785607
60	25.921638
65	28.120344
70	30.259704
75	32.485437
80	34.597148
85	36.832340
90	38.929771
95	41.014350
100	43.312141
105	45.340810
110	47.638298
115	49.715215
120	51.947264
125	54.055269
130	56.270835
135	58.503088
140	60.495232
145	62.671266
150	64.949026
155	67.020320
160	69.271160
165	71.448801
170	73.647883
175	75.715657
180	77.869952
185	80.072297
190	82.373319
195	84.470370
200	86.607172
