ProtocolTime	Work

5	240.000000
10	120.000000
15	80.000000
20	60.000000
25	48.000000
30	40.000000
35	34.285714
40	30.000000
45	26.666667
50	24.000000
55	21.818182
60	20.000000
65	18.461538
70	17.142857
75	16.000000
80	15.000000
85	14.117647
90	13.333333
95	12.631579
100	12.000000
105	11.428571
110	10.909091
115	10.434783
120	10.000000
125	9.600000
130	9.230769
135	8.888889
140	8.571429
145	8.275862
150	8.000000
155	7.741935
160	7.500000
165	7.272727
170	7.058824
175	6.857143
180	6.666667
185	6.486486
190	6.315789
195	6.153846
200	6.000000
