ProtocolTime	Work

5	1.028520
10	2.090977
15	3.199914
20	4.314121
25	5.303892
30	6.454345
35	7.489167
40	8.625900
45	9.677673
50	10.763068
55	11.826451
60	12.932177
65	14.085528
70	14.956750
75	16.255883
80	17.240843
85	18.290849
90	19.544621
95	20.502911
100	21.666510
105	22.616325
110	23.663560
115	24.790154
120	25.924822
125	26.882662
130	28.045281
135	29.212463
140	30.271863
145	31.301942
150	32.304953
155	33.390019
160	34.672979
165	35.436742
170	36.652516
175	37.709006
180	38.872588
185	39.821008
190	40.934836
195	42.216863
200	43.120321
