ProtocolTime	Work

5	2.125112
10	4.283668
15	6.480327
20	8.651861
25	10.796957
30	13.005393
35	15.135748
40	17.320816
45	19.477016
50	21.587049
55	23.795434
60	25.924493
65	28.117375
70	30.315276
75	32.407415
80	34.561184
85	36.744648
90	38.994942
95	41.132972
100	43.339549
105	45.451832
110	47.619090
115	49.743456
120	51.859000
125	54.128168
130	56.279089
135	58.475719
140	60.616582
145	62.814025
150	64.966522
155	67.173296
160	69.287449
165	71.438894
170	73.735091
175	75.860379
180	77.894111
185	80.037951
190	82.198184
195	84.593287
200	86.578858
