ProtocolTime	Work

5	17.465637
10	10.139680
15	8.440312
20	7.903758
25	8.159727
30	8.767102
35	9.554290
40	9.906388
45	11.078191
50	11.987018
55	12.659433
60	13.384375
65	14.378054
70	15.284637
75	16.293205
80	17.350239
85	18.161300
90	18.533078
95	20.131225
100	21.340494
105	21.919456
110	22.777708
115	23.933322
120	24.765294
125	25.599845
130	26.783740
135	27.755588
140	28.843349
145	29.683344
150	30.739846
155	32.096838
160	32.564041
165	33.929985
170	34.740662
175	35.064051
180	37.004999
185	37.503158
190	38.816497
195	39.443149
200	40.749627
