Tau	Work

10.000000	750.060478
20.000000	374.928266
30.000000	249.966414
40.000000	187.372547
50.000000	149.845929
60.000000	124.815302
70.000000	106.965595
80.000000	94.001191
90.000000	83.408767
100.000000	74.856288
110.000000	68.278696
120.000000	62.492711
130.000000	57.462327
140.000000	53.541382
150.000000	50.108102
160.000000	46.933779
170.000000	44.172524
180.000000	41.657374
190.000000	39.394355
200.000000	37.570847
210.000000	35.700294
220.000000	34.199609
230.000000	32.553732
240.000000	31.357377
250.000000	30.116528
260.000000	28.954560
270.000000	27.832406
280.000000	26.799706
290.000000	25.832879
300.000000	24.937087
310.000000	24.295138
320.000000	23.511475
330.000000	22.740752
340.000000	22.180626
350.000000	21.254210
360.000000	20.840383
370.000000	20.105226
380.000000	19.741644
390.000000	19.335633
400.000000	18.741615
410.000000	18.311222
420.000000	17.749325
430.000000	17.481035
440.000000	17.066483
450.000000	16.606195
460.000000	16.267741
470.000000	15.972412
480.000000	15.653570
490.000000	15.292603
500.000000	14.951025
