Tau	WorkVariance

10.000000	488.346660
20.000000	389.146505
30.000000	312.919693
40.000000	264.849260
50.000000	233.614503
60.000000	202.787182
70.000000	179.845488
80.000000	161.161564
90.000000	142.890116
100.000000	133.034822
110.000000	122.160319
120.000000	113.382643
130.000000	102.665741
140.000000	98.439885
150.000000	92.566369
160.000000	85.151721
170.000000	81.412611
180.000000	79.161110
190.000000	73.360110
200.000000	70.525882
210.000000	67.840186
220.000000	63.930454
230.000000	63.586347
240.000000	57.656499
250.000000	56.101940
260.000000	55.115482
270.000000	54.861052
280.000000	52.393240
290.000000	50.090333
300.000000	47.636258
310.000000	46.162008
320.000000	45.119293
330.000000	42.630814
340.000000	42.075826
350.000000	40.528829
360.000000	40.009975
370.000000	39.595111
380.000000	37.525869
390.000000	36.916265
400.000000	37.020736
410.000000	36.421236
420.000000	34.790361
430.000000	33.534733
440.000000	33.723448
450.000000	32.261304
460.000000	31.722042
470.000000	31.231894
480.000000	30.706727
490.000000	29.191734
500.000000	30.499793
