Time	AutoCorrelation

0.000000	34.698795
0.100000	29.141751
0.200000	21.910546
0.300000	15.695203
0.400000	10.985702
0.500000	7.583052
0.600000	5.188149
0.700000	3.533480
0.800000	2.425151
0.900000	1.667724
1.000000	1.137400
1.100000	0.784576
1.200000	0.537237
1.300000	0.366509
1.400000	0.247297
1.500000	0.185624
1.600000	0.150351
1.700000	0.113194
1.800000	0.078483
1.900000	0.033437
2.000000	-0.017088
2.100000	-0.066147
2.200000	-0.095601
2.300000	-0.116045
2.400000	-0.108564
2.500000	-0.098068
2.600000	-0.069287
2.700000	-0.036848
2.800000	-0.003531
2.900000	0.016906
3.000000	0.020292
3.100000	0.025702
3.200000	0.026022
3.300000	0.024665
3.400000	0.019436
3.500000	0.016168
3.600000	0.009286
3.700000	0.005508
3.800000	-0.013824
3.900000	-0.043962
4.000000	-0.060008
4.100000	-0.060419
4.200000	-0.052996
4.300000	-0.042455
4.400000	-0.020883
4.500000	-0.006224
4.600000	-0.012403
4.700000	-0.031599
4.800000	-0.046293
4.900000	-0.064915
5.000000	-0.081180
5.100000	-0.096783
5.200000	-0.111440
5.300000	-0.125032
5.400000	-0.128073
5.500000	-0.112723
5.600000	-0.081492
5.700000	-0.053954
5.800000	-0.030718
5.900000	0.002279
6.000000	0.026383
6.100000	0.042483
6.200000	0.041445
6.300000	0.053920
6.400000	0.064149
6.500000	0.089653
6.600000	0.113705
6.700000	0.121762
6.800000	0.109827
6.900000	0.084520
7.000000	0.063445
7.100000	0.048793
7.200000	0.032695
7.300000	0.031313
7.400000	0.044366
7.500000	0.082192
7.600000	0.118010
7.700000	0.131342
7.800000	0.128013
7.900000	0.100084
8.000000	0.081494
8.100000	0.065762
8.200000	0.048303
8.300000	0.021576
8.400000	0.001388
8.500000	-0.016630
8.600000	-0.022029
8.700000	-0.005517
8.800000	0.011223
8.900000	0.041063
9.000000	0.084150
9.100000	0.121741
9.200000	0.138719
9.300000	0.135912
9.400000	0.130388
9.500000	0.110002
9.600000	0.058325
9.700000	0.011516
9.800000	-0.013255
9.900000	-0.010867
10.000000	-0.004954
10.100000	0.005221
10.200000	0.017586
10.300000	0.032847
10.400000	0.029742
10.500000	0.012932
10.600000	0.006008
10.700000	-0.008781
10.800000	-0.016776
10.900000	-0.011679
11.000000	-0.003484
11.100000	-0.013153
11.200000	-0.026323
11.300000	-0.039592
11.400000	-0.046566
11.500000	-0.059735
11.600000	-0.053288
11.700000	-0.036055
11.800000	-0.016877
11.900000	-0.007159
12.000000	0.008997
12.100000	0.031449
12.200000	0.057352
12.300000	0.067278
12.400000	0.069098
12.500000	0.064518
12.600000	0.063269
12.700000	0.074202
12.800000	0.093733
12.900000	0.099161
13.000000	0.079124
13.100000	0.035235
13.200000	-0.015087
13.300000	-0.055826
13.400000	-0.069362
13.500000	-0.057718
13.600000	-0.021323
13.700000	0.010642
13.800000	0.032776
13.900000	0.034326
14.000000	0.035037
14.100000	0.022523
14.200000	0.013555
14.300000	0.009898
14.400000	0.005861
14.500000	0.012475
14.600000	0.022928
14.700000	0.036515
14.800000	0.039214
14.900000	0.043952
15.000000	0.049921
15.100000	0.049490
15.200000	0.039047
15.300000	0.029650
15.400000	0.005446
15.500000	-0.030780
15.600000	-0.065731
15.700000	-0.086730
15.800000	-0.097710
15.900000	-0.108747
16.000000	-0.106629
16.100000	-0.095984
16.200000	-0.091314
16.300000	-0.079091
16.400000	-0.061088
16.500000	-0.050832
16.600000	-0.040583
16.700000	-0.030239
16.800000	-0.024111
16.900000	-0.013534
17.000000	-0.010989
17.100000	-0.026237
17.200000	-0.053239
17.300000	-0.075981
17.400000	-0.089296
17.500000	-0.095770
17.600000	-0.100442
17.700000	-0.094299
17.800000	-0.084269
17.900000	-0.079012
18.000000	-0.071062
18.100000	-0.041864
18.200000	-0.013687
18.300000	0.014734
18.400000	0.036816
18.500000	0.041388
18.600000	0.036374
18.700000	0.029039
18.800000	0.020323
18.900000	-0.007437
19.000000	-0.038082
19.100000	-0.049732
19.200000	-0.052179
19.300000	-0.056647
19.400000	-0.056290
19.500000	-0.036807
19.600000	-0.029164
19.700000	-0.028552
19.800000	-0.027912
19.900000	-0.022299
20.000000	-0.005404
20.100000	-0.000574
20.200000	-0.005041
20.300000	-0.011704
20.400000	-0.029581
20.500000	-0.062733
20.600000	-0.100048
20.700000	-0.137250
20.800000	-0.185684
20.900000	-0.208678
21.000000	-0.197706
21.100000	-0.151174
21.200000	-0.095197
21.300000	-0.036410
21.400000	0.007275
21.500000	0.035124
21.600000	0.061510
21.700000	0.088022
21.800000	0.113171
21.900000	0.131902
22.000000	0.132939
22.100000	0.119017
22.200000	0.091094
22.300000	0.050754
22.400000	0.023318
22.500000	0.010678
22.600000	0.005371
22.700000	0.016089
22.800000	0.038179
22.900000	0.048134
23.000000	0.053728
23.100000	0.050809
23.200000	0.038325
23.300000	0.020530
23.400000	0.020847
23.500000	0.017731
23.600000	0.014760
23.700000	0.006112
23.800000	-0.000514
23.900000	-0.009154
24.000000	-0.010549
24.100000	-0.010848
24.200000	-0.011585
24.300000	-0.029834
24.400000	-0.055696
24.500000	-0.079767
24.600000	-0.097093
24.700000	-0.106958
24.800000	-0.115038
24.900000	-0.101533
25.000000	-0.076218
25.100000	-0.070538
25.200000	-0.060592
25.300000	-0.058847
25.400000	-0.055269
25.500000	-0.058948
25.600000	-0.062134
25.700000	-0.048969
25.800000	-0.030424
25.900000	-0.022131
26.000000	-0.011401
26.100000	-0.008589
26.200000	-0.011929
26.300000	-0.024636
26.400000	-0.030350
26.500000	-0.028674
26.600000	-0.031910
26.700000	-0.032472
26.800000	-0.021288
26.900000	-0.015929
27.000000	-0.013284
27.100000	-0.011820
27.200000	-0.002086
27.300000	0.017493
27.400000	0.049676
27.500000	0.083731
27.600000	0.102554
27.700000	0.107947
27.800000	0.100232
27.900000	0.095300
28.000000	0.082558
28.100000	0.068799
28.200000	0.045662
28.300000	0.014570
28.400000	-0.009228
28.500000	-0.032995
28.600000	-0.053549
28.700000	-0.067464
28.800000	-0.087807
28.900000	-0.099234
29.000000	-0.083137
29.100000	-0.062429
29.200000	-0.025520
29.300000	0.008926
29.400000	0.040217
29.500000	0.057950
29.600000	0.061533
29.700000	0.040258
29.800000	0.014235
29.900000	-0.003641
30.000000	-0.014789
30.100000	-0.021538
30.200000	-0.026421
30.300000	-0.014986
30.400000	0.011225
30.500000	0.040821
30.600000	0.067542
30.700000	0.087118
30.800000	0.091333
30.900000	0.086101
31.000000	0.062913
31.100000	0.059684
31.200000	0.055017
31.300000	0.051434
31.400000	0.049244
31.500000	0.034953
31.600000	0.013465
31.700000	0.011381
31.800000	0.008006
31.900000	0.005904
32.000000	0.004063
32.100000	-0.006375
32.200000	-0.014895
32.300000	-0.028894
32.400000	-0.044184
32.500000	-0.050775
32.600000	-0.045347
32.700000	-0.026231
32.800000	-0.000107
32.900000	0.025739
33.000000	0.043891
33.100000	0.038509
33.200000	0.044292
33.300000	0.038671
33.400000	0.031232
33.500000	0.033544
33.600000	0.034935
33.700000	0.034756
33.800000	0.035862
33.900000	0.015873
34.000000	-0.000086
34.100000	-0.020814
34.200000	-0.055623
34.300000	-0.066748
34.400000	-0.070354
34.500000	-0.078343
34.600000	-0.097187
34.700000	-0.130662
34.800000	-0.148189
34.900000	-0.145696
35.000000	-0.130439
35.100000	-0.122580
35.200000	-0.121463
35.300000	-0.114626
35.400000	-0.102231
35.500000	-0.099288
35.600000	-0.095714
35.700000	-0.093244
35.800000	-0.092264
35.900000	-0.079237
36.000000	-0.053460
36.100000	-0.025940
36.200000	-0.012965
36.300000	-0.016697
36.400000	-0.019514
36.500000	-0.019290
36.600000	-0.019950
36.700000	-0.021485
36.800000	-0.026132
36.900000	-0.010776
37.000000	0.023746
37.100000	0.056617
37.200000	0.071945
37.300000	0.074347
37.400000	0.064582
37.500000	0.029818
37.600000	-0.008536
37.700000	-0.032129
37.800000	-0.031667
37.900000	-0.031078
38.000000	-0.036785
38.100000	-0.042434
38.200000	-0.029556
38.300000	-0.004442
38.400000	0.014383
38.500000	0.035988
38.600000	0.048742
38.700000	0.065926
38.800000	0.083633
38.900000	0.097125
39.000000	0.088306
39.100000	0.065432
39.200000	0.049874
39.300000	0.045655
39.400000	0.041506
39.500000	0.035573
39.600000	0.036370
39.700000	0.034656
39.800000	0.023467
39.900000	0.012774
40.000000	-0.001348
40.100000	-0.007687
40.200000	-0.005259
40.300000	0.006224
40.400000	-0.000960
40.500000	-0.017376
40.600000	-0.019674
40.700000	-0.011366
40.800000	0.003058
40.900000	0.000126
41.000000	0.016445
41.100000	0.042434
41.200000	0.063022
41.300000	0.072396
41.400000	0.071124
41.500000	0.067080
41.600000	0.065697
41.700000	0.066258
41.800000	0.053023
41.900000	0.036547
42.000000	0.008682
42.100000	-0.025881
42.200000	-0.065637
42.300000	-0.103636
42.400000	-0.116249
42.500000	-0.099015
42.600000	-0.068614
42.700000	-0.048931
42.800000	-0.043167
42.900000	-0.048678
43.000000	-0.049260
43.100000	-0.066191
43.200000	-0.084034
43.300000	-0.075860
43.400000	-0.061946
43.500000	-0.055641
43.600000	-0.069278
43.700000	-0.089171
43.800000	-0.101860
43.900000	-0.096301
44.000000	-0.091606
44.100000	-0.089474
44.200000	-0.093240
44.300000	-0.112512
44.400000	-0.120129
44.500000	-0.108996
44.600000	-0.086553
44.700000	-0.066729
44.800000	-0.061131
44.900000	-0.059332
45.000000	-0.044263
45.100000	-0.026303
45.200000	-0.002418
45.300000	0.010532
45.400000	0.003326
45.500000	-0.007242
45.600000	-0.011559
45.700000	-0.012652
45.800000	0.002965
45.900000	0.021264
46.000000	0.034816
46.100000	0.040036
46.200000	0.031339
46.300000	0.012721
46.400000	-0.008430
46.500000	-0.022681
46.600000	-0.038197
46.700000	-0.041819
46.800000	-0.057137
46.900000	-0.076412
47.000000	-0.079007
47.100000	-0.089464
47.200000	-0.092696
47.300000	-0.088567
47.400000	-0.084523
47.500000	-0.080846
47.600000	-0.069229
47.700000	-0.059460
47.800000	-0.056082
47.900000	-0.051174
48.000000	-0.054193
48.100000	-0.067799
48.200000	-0.080701
48.300000	-0.093629
48.400000	-0.084507
48.500000	-0.059941
48.600000	-0.029221
48.700000	-0.007079
48.800000	0.015690
48.900000	0.039618
49.000000	0.036462
49.100000	0.020978
49.200000	0.001474
49.300000	-0.004645
49.400000	-0.010230
49.500000	-0.010051
49.600000	-0.002946
49.700000	-0.010121
49.800000	-0.017474
49.900000	-0.020137
50.000000	-0.013695
50.100000	-0.008849
50.200000	-0.019272
50.300000	-0.035521
50.400000	-0.038342
50.500000	-0.025756
50.600000	-0.017213
50.700000	-0.009243
50.800000	-0.011646
50.900000	0.017883
51.000000	0.061274
51.100000	0.101488
