Time	Position	CP

0.100000	0.051387	0.044126
0.200000	-0.010319	0.147177
0.300000	0.126570	0.327149
0.400000	0.091103	0.358506
0.500000	0.217612	0.330122
0.600000	0.175639	0.369083
0.700000	0.139694	0.434252
0.800000	-0.082283	0.424378
0.900000	-0.157219	0.563923
1.000000	-0.159360	0.706698
1.100000	-0.155528	0.522305
1.200000	-0.141866	0.426868
1.300000	-0.353531	0.414114
1.400000	-0.544306	0.536096
1.500000	-0.658192	0.685700
1.600000	-0.544161	0.711077
1.700000	-0.395001	0.580478
1.800000	-0.341543	0.722951
1.900000	-0.369102	0.825600
2.000000	-0.221701	0.818180
2.100000	-0.115059	0.870239
2.200000	-0.107747	0.902698
2.300000	-0.003037	0.911294
2.400000	0.249632	0.842850
2.500000	0.312872	0.800439
2.600000	0.341954	0.750588
2.700000	0.291302	0.749157
2.800000	0.226449	0.668456
2.900000	0.207455	0.653719
3.000000	0.131470	0.670977
3.100000	0.073576	0.533861
3.200000	0.224222	0.620644
3.300000	0.310729	0.645300
3.400000	0.290820	0.660688
3.500000	0.364063	0.632076
3.600000	0.439133	0.614300
3.700000	0.372506	0.599704
3.800000	0.315709	0.564214
3.900000	0.360543	0.571515
4.000000	0.495758	0.734763
4.100000	0.487185	0.804443
4.200000	0.511986	0.930036
4.300000	0.737902	1.010299
4.400000	0.708425	0.892262
4.500000	0.602625	1.007472
4.600000	0.606270	0.761655
4.700000	0.777178	0.775211
4.800000	0.620237	0.632717
4.900000	0.480094	0.751878
5.000000	0.421276	0.632133
5.100000	0.400005	0.530440
5.200000	0.429412	0.582318
5.300000	0.459588	0.422790
5.400000	0.324329	0.477454
5.500000	0.343915	0.342544
5.600000	0.400690	0.307935
5.700000	0.465295	0.377466
5.800000	0.473781	0.489547
5.900000	0.542118	0.494301
6.000000	0.570972	0.516072
6.100000	0.488232	0.530951
6.200000	0.621437	0.535099
6.300000	0.542600	0.473846
6.400000	0.473890	0.334914
6.500000	0.377121	0.388471
6.600000	0.244143	0.408503
6.700000	0.252998	0.423133
6.800000	0.224763	0.355858
6.900000	0.348617	0.349612
7.000000	0.426968	0.252751
7.100000	0.574852	0.215514
7.200000	0.453838	0.137677
7.300000	0.474095	0.008215
7.400000	0.672333	-0.011595
7.500000	0.818356	-0.119418
7.600000	0.931826	-0.151527
7.700000	1.056747	-0.171520
7.800000	1.309926	-0.152464
7.900000	1.425229	-0.202770
8.000000	1.545346	-0.315255
8.100000	1.408502	-0.353076
8.200000	1.352776	-0.349674
8.300000	1.420103	-0.373609
8.400000	1.479390	-0.297462
8.500000	1.454995	-0.086023
8.600000	1.486884	0.080668
8.700000	1.688857	0.258289
8.800000	1.654809	0.273205
8.900000	1.723130	0.330321
9.000000	1.745253	0.342305
9.100000	1.761485	0.328500
9.200000	1.756252	0.204296
9.300000	1.741828	0.117939
9.400000	1.840246	0.217382
9.500000	1.988250	0.249516
9.600000	1.979194	0.317918
9.700000	2.014051	0.276941
9.800000	2.026204	0.178949
9.900000	2.066915	0.095991
10.000000	2.162489	0.159002
10.100000	2.162737	0.285127
10.200000	2.170031	0.186676
10.300000	2.130920	0.192668
10.400000	2.131831	0.278522
10.500000	2.195578	0.304771
10.600000	2.181660	0.488010
10.700000	2.253033	0.541521
10.800000	2.241380	0.370760
10.900000	2.167363	0.505785
11.000000	2.179545	0.676751
11.100000	2.108137	0.797908
11.200000	2.082193	0.889444
11.300000	1.926059	0.722494
11.400000	2.015167	0.731037
11.500000	2.004879	0.762873
11.600000	1.817349	0.559476
11.700000	1.831002	0.548354
11.800000	1.737953	0.495018
