Time	AutoCorrelation

0.000000	0.998651
0.100000	0.876670
0.200000	0.765931
0.300000	0.669337
0.400000	0.584707
0.500000	0.510311
0.600000	0.445083
0.700000	0.388428
0.800000	0.338986
0.900000	0.295389
1.000000	0.257356
1.100000	0.224537
1.200000	0.195995
1.300000	0.171781
1.400000	0.150445
1.500000	0.131687
1.600000	0.115653
1.700000	0.101877
1.800000	0.089727
1.900000	0.079011
2.000000	0.069615
2.100000	0.061428
2.200000	0.054866
2.300000	0.049010
2.400000	0.043543
2.500000	0.038766
2.600000	0.034581
2.700000	0.030927
2.800000	0.027662
2.900000	0.025072
3.000000	0.022687
3.100000	0.021093
3.200000	0.019691
3.300000	0.018074
3.400000	0.016780
3.500000	0.015643
3.600000	0.015054
3.700000	0.013921
3.800000	0.012812
3.900000	0.011210
4.000000	0.010022
4.100000	0.009339
4.200000	0.008302
4.300000	0.007288
4.400000	0.006375
4.500000	0.005692
4.600000	0.004694
4.700000	0.004116
4.800000	0.003676
4.900000	0.003280
5.000000	0.003177
5.100000	0.003402
5.200000	0.003381
5.300000	0.003261
5.400000	0.003221
5.500000	0.002772
5.600000	0.001997
5.700000	0.001367
5.800000	0.000476
5.900000	-0.000508
6.000000	-0.001304
6.100000	-0.001392
6.200000	-0.001487
6.300000	-0.001473
6.400000	-0.001703
6.500000	-0.001784
6.600000	-0.001763
6.700000	-0.001671
6.800000	-0.001415
6.900000	-0.001228
7.000000	-0.000798
7.100000	-0.000600
7.200000	-0.000557
7.300000	-0.000602
7.400000	-0.000093
7.500000	0.000234
7.600000	0.000481
7.700000	0.000687
7.800000	0.000783
7.900000	0.000814
8.000000	0.001238
8.100000	0.001604
8.200000	0.001638
8.300000	0.001555
8.400000	0.001227
8.500000	0.000664
8.600000	0.000119
8.700000	-0.000193
8.800000	0.000139
8.900000	0.000781
9.000000	0.001212
9.100000	0.001364
9.200000	0.001527
9.300000	0.001590
9.400000	0.001983
9.500000	0.002057
9.600000	0.001993
9.700000	0.001832
9.800000	0.001491
9.900000	0.001042
10.000000	0.000788
10.100000	0.000672
10.200000	0.000878
10.300000	0.001180
10.400000	0.001342
10.500000	0.001143
10.600000	0.000923
10.700000	0.000187
10.800000	-0.000116
10.900000	-0.000126
11.000000	-0.000018
11.100000	-0.000318
11.200000	-0.000573
11.300000	-0.000791
11.400000	-0.001137
11.500000	-0.001449
11.600000	-0.002011
11.700000	-0.002226
11.800000	-0.002442
11.900000	-0.002499
12.000000	-0.002534
12.100000	-0.002529
12.200000	-0.002386
12.300000	-0.002371
12.400000	-0.002488
12.500000	-0.002123
12.600000	-0.002015
12.700000	-0.001490
12.800000	-0.000948
12.900000	-0.000721
13.000000	-0.000639
13.100000	-0.000533
13.200000	-0.000443
13.300000	-0.000394
13.400000	-0.000292
13.500000	-0.000411
13.600000	-0.000542
13.700000	-0.000575
13.800000	-0.000690
13.900000	-0.000631
14.000000	-0.000815
14.100000	-0.001076
14.200000	-0.000973
14.300000	-0.001102
14.400000	-0.001612
14.500000	-0.001929
14.600000	-0.002363
14.700000	-0.002826
14.800000	-0.003331
14.900000	-0.003396
15.000000	-0.003172
15.100000	-0.003057
15.200000	-0.003334
15.300000	-0.003187
15.400000	-0.002965
15.500000	-0.002476
15.600000	-0.001905
15.700000	-0.001742
15.800000	-0.001744
15.900000	-0.001977
16.000000	-0.001792
16.100000	-0.001661
16.200000	-0.001090
16.300000	-0.000871
16.400000	-0.000676
16.500000	-0.000532
16.600000	-0.000716
16.700000	-0.001196
16.800000	-0.001841
