ProtocolTime	Work

25	1.554287
50	3.427672
75	4.522443
100	6.680500
125	8.575028
150	10.047882
175	11.314683
200	13.082132
225	14.601033
250	16.577351
275	18.028831
300	20.091960
325	21.391457
350	22.540971
375	25.346128
400	26.966144
425	27.457334
450	30.706277
475	31.000530
500	32.247611
525	35.248647
550	36.252866
575	36.665738
600	39.617689
625	41.558328
650	42.630301
675	45.150702
700	47.079448
725	47.570958
750	50.332399
775	49.880216
800	53.642053
825	53.472564
850	54.442144
875	57.434778
900	59.200070
925	60.728415
950	63.861077
975	64.368630
1000	66.570265
1025	66.214781
1050	68.788010
1075	70.918025
1100	74.013906
1125	73.473157
1150	75.773435
1175	77.960080
1200	78.900006
1225	82.144412
1250	83.775805
1275	85.006226
1300	86.294484
1325	88.247363
1350	88.998317
1375	90.492669
1400	92.388871
1425	94.529048
1450	97.978945
1475	96.650264
1500	100.202484
1525	98.646285
1550	103.067744
1575	104.493232
1600	105.977407
1625	107.898140
1650	110.217921
1675	111.651366
1700	112.500999
1725	115.289112
1750	113.904778
1775	117.165566
1800	119.384515
1825	119.464947
1850	120.907139
1875	122.945086
