ProtocolTime	Work

5	2.126162
10	4.312658
15	6.478721
20	8.637922
25	10.815689
30	12.965486
35	15.070412
40	17.280325
45	19.475539
50	21.615634
55	23.874033
60	25.989834
65	28.083016
70	30.270747
75	32.510652
80	34.663777
85	36.797538
90	38.945779
95	41.028266
100	43.312562
105	45.433917
110	47.695963
115	49.788032
120	51.971355
125	54.145522
130	56.241881
135	58.470410
140	60.604055
145	62.790418
150	64.885660
155	67.097567
160	69.286834
165	71.460239
170	73.677601
175	75.808132
180	77.859048
185	80.074736
190	82.193653
195	84.442093
200	86.512456
