ProtocolTime	Work

5	15.273770
10	8.084487
15	5.949301
20	5.139992
25	5.012273
30	4.769336
35	4.829996
40	4.886717
45	5.192943
50	5.193964
55	5.421183
60	6.050068
65	5.886917
70	6.227386
75	6.604727
80	6.936661
85	7.103155
90	7.591332
95	7.826386
100	8.050683
105	8.578450
110	8.944546
115	8.983135
120	9.683258
125	9.902174
130	9.867116
135	10.765472
140	11.228269
145	11.237457
150	11.447048
155	12.123625
160	11.826738
165	12.762320
170	13.185038
175	13.721466
180	13.858947
185	14.094385
190	14.377020
195	14.715299
200	15.655052
