Time	AutoCorrelation

0.000000	1.001626
0.100000	0.879576
0.200000	0.768789
0.300000	0.671910
0.400000	0.587754
0.500000	0.514419
0.600000	0.450320
0.700000	0.393915
0.800000	0.344593
0.900000	0.301345
1.000000	0.263619
1.100000	0.230441
1.200000	0.201408
1.300000	0.176207
1.400000	0.154374
1.500000	0.135248
1.600000	0.118736
1.700000	0.104291
1.800000	0.091394
1.900000	0.079993
2.000000	0.070171
2.100000	0.061069
2.200000	0.052964
2.300000	0.046039
2.400000	0.040212
2.500000	0.035034
2.600000	0.030466
2.700000	0.026402
2.800000	0.022613
2.900000	0.019280
3.000000	0.016174
3.100000	0.013282
3.200000	0.010744
3.300000	0.008685
3.400000	0.007119
3.500000	0.005738
3.600000	0.004366
3.700000	0.003214
3.800000	0.002478
3.900000	0.002122
4.000000	0.002112
4.100000	0.002447
4.200000	0.002733
4.300000	0.002985
4.400000	0.003174
4.500000	0.003445
4.600000	0.003414
4.700000	0.003214
4.800000	0.002720
4.900000	0.002404
5.000000	0.001932
5.100000	0.001787
5.200000	0.001668
5.300000	0.001360
5.400000	0.001113
5.500000	0.001047
5.600000	0.000837
5.700000	0.000427
5.800000	0.000228
5.900000	0.000541
6.000000	0.000972
6.100000	0.001058
6.200000	0.001048
6.300000	0.001317
6.400000	0.001369
6.500000	0.001398
6.600000	0.001652
6.700000	0.002063
6.800000	0.002249
6.900000	0.002239
7.000000	0.002068
7.100000	0.001658
7.200000	0.001927
7.300000	0.001745
7.400000	0.001938
7.500000	0.001650
7.600000	0.001438
7.700000	0.001524
7.800000	0.001834
7.900000	0.001824
8.000000	0.002267
8.100000	0.002584
8.200000	0.002823
8.300000	0.002940
8.400000	0.002653
8.500000	0.002313
8.600000	0.001467
8.700000	0.000729
8.800000	0.000761
8.900000	0.000858
9.000000	0.001234
9.100000	0.001353
9.200000	0.001547
9.300000	0.001782
9.400000	0.001970
9.500000	0.002052
9.600000	0.002061
9.700000	0.002101
9.800000	0.002354
