ProtocolTime	Work

5	3.750000
10	1.875000
15	1.250000
20	0.937500
25	0.750000
30	0.625000
35	0.535714
40	0.468750
45	0.416667
50	0.375000
55	0.340909
60	0.312500
65	0.288462
70	0.267857
75	0.250000
80	0.234375
85	0.220588
90	0.208333
95	0.197368
100	0.187500
105	0.178571
110	0.170455
115	0.163043
120	0.156250
125	0.150000
130	0.144231
135	0.138889
140	0.133929
145	0.129310
150	0.125000
155	0.120968
160	0.117188
165	0.113636
170	0.110294
175	0.107143
180	0.104167
185	0.101351
190	0.098684
195	0.096154
200	0.093750
