ProtocolTime	Work

5	5.771845
10	11.899010
15	17.882642
20	24.093652
25	30.233826
30	36.448254
35	42.217110
40	48.356234
45	54.863554
50	60.826187
55	67.143334
60	73.145744
65	79.800710
70	85.076144
75	91.234872
80	97.406041
85	103.847268
90	109.607824
95	116.225529
100	121.855575
105	127.863340
110	134.573604
115	140.924868
120	146.902274
125	152.689631
130	159.194080
135	165.482956
140	171.513963
145	176.959204
150	183.451792
155	190.328412
160	195.008530
165	201.742833
170	208.499804
175	213.349005
180	220.496199
185	225.868591
190	231.670153
195	237.189681
200	244.877591
