ProtocolTime	Work

5	2.119446
10	4.313485
15	6.437882
20	8.592840
25	10.794994
30	12.947790
35	15.156193
40	17.249801
45	19.455772
50	21.632114
55	23.780942
60	25.915144
65	28.157024
70	30.294278
75	32.445301
80	34.608591
85	36.866161
90	38.927704
95	41.108238
100	43.279519
105	45.451108
110	47.548572
115	49.668085
120	51.986608
125	53.993499
130	56.233922
135	58.382853
140	60.580985
145	62.793376
150	64.896463
155	67.217480
160	69.234120
165	71.353181
170	73.579627
175	75.734404
180	77.821470
185	80.188858
190	82.273574
195	84.407207
200	86.584018
