ProtocolTime	Work

5	7.500000
10	3.750000
15	2.500000
20	1.875000
25	1.500000
30	1.250000
35	1.071429
40	0.937500
45	0.833333
50	0.750000
55	0.681818
60	0.625000
65	0.576923
70	0.535714
75	0.500000
80	0.468750
85	0.441176
90	0.416667
95	0.394737
100	0.375000
105	0.357143
110	0.340909
115	0.326087
120	0.312500
125	0.300000
130	0.288462
135	0.277778
140	0.267857
145	0.258621
150	0.250000
155	0.241935
160	0.234375
165	0.227273
170	0.220588
175	0.214286
180	0.208333
185	0.202703
190	0.197368
195	0.192308
200	0.187500
