ProtocolTime	Work

5	1.019251
10	2.111809
15	3.185611
20	4.232929
25	5.355272
30	6.442459
35	7.422587
40	8.540909
45	9.775589
50	10.750474
55	11.831793
60	12.968461
65	13.929364
70	15.051603
75	16.116160
80	17.247935
85	18.350201
90	19.421274
95	20.653460
100	21.599757
105	22.591089
110	23.743806
115	24.779338
120	25.839095
125	26.903159
130	27.968835
135	29.135852
140	30.234993
145	31.139992
150	32.369616
155	33.578517
160	34.571290
165	35.492855
170	36.544711
175	37.743155
180	38.717163
185	39.913934
190	41.151723
195	42.087666
200	43.060790
