ProtocolTime	Work

5	4.276170
10	8.613812
15	12.951484
20	17.257372
25	21.626096
30	25.883408
35	30.304897
40	34.722405
45	38.881813
50	43.242592
55	47.658684
60	51.825854
65	56.356371
70	60.691799
75	64.790900
80	69.305000
85	73.538506
90	77.914291
95	82.305620
100	86.488513
105	90.711403
110	95.175347
115	99.447321
120	104.016550
125	108.211227
130	112.597221
135	116.974489
140	121.061148
145	125.455394
150	129.603017
155	134.280600
160	138.532751
165	142.736297
170	147.229169
175	151.692373
180	155.894426
185	160.225616
190	164.736155
195	168.961694
200	173.256958
