ProtocolTime	Work

5	15.369323
10	8.280727
15	6.150014
20	5.265880
25	4.820143
30	4.792703
35	5.025288
40	4.727205
45	4.984394
50	5.219047
55	5.434725
60	5.718556
65	6.033140
70	6.468952
75	6.632090
80	6.784343
85	7.140528
90	7.648762
95	7.491280
100	8.053295
105	8.077946
110	9.107221
115	9.293283
120	9.092708
125	9.911835
130	10.128156
135	10.599366
140	10.574989
145	11.425586
150	11.982471
155	11.766205
160	12.199368
165	12.365536
170	13.070430
175	13.289243
180	13.524699
185	14.426149
190	14.595761
195	14.962066
200	14.977398
