ProtocolTime	Work

100	316.453858
150	142.780592
200	80.437753
250	52.894226
300	38.125172
350	28.548974
400	22.688292
450	18.712195
500	15.865967
550	13.802746
600	12.704803
650	11.303075
700	10.697533
750	10.268444
800	9.984160
850	9.293507
900	9.263118
950	8.939514
1000	8.711052
1050	8.743367
1100	8.883452
1150	8.559257
1200	8.546077
1250	8.910980
1300	8.798691
1350	8.876810
1400	9.217941
1450	9.128265
1500	9.575271
1550	9.748715
1600	9.739774
1650	9.952553
1700	9.959850
1750	10.265024
1800	10.340456
1850	10.652178
1900	10.716097
1950	11.115584
2000	10.950870
2050	11.295213
2100	11.747427
2150	11.859112
2200	12.049998
2250	12.043892
2300	12.441275
2350	12.551153
2400	13.157409
2450	13.090446
2500	13.443933
2550	13.538042
2600	13.943034
2650	13.823727
2700	14.409623
2750	14.241974
2800	14.704713
2850	14.760517
2900	15.308418
2950	15.439967
3000	15.531426
3050	15.616740
3100	16.095163
3150	16.302725
3200	16.430150
3250	17.103153
3300	16.608365
3350	16.953910
3400	17.446785
3450	17.477533
3500	17.849753
3550	18.071840
