CPTime	InternalTime

100.10	157.70
150.10	236.60
200.10	323.30
250.10	394.00
300.10	479.30
350.00	562.60
400.00	639.00
450.00	724.90
500.00	803.20
550.00	876.90
600.00	964.90
650.00	1042.30
700.00	1108.60
750.00	1199.90
800.00	1267.90
850.00	1345.70
900.00	1419.10
950.00	1517.40
1000.00	1592.10
1050.00	1680.40
1100.00	1755.30
1150.00	1834.20
1200.00	1910.00
1250.10	1999.10
1300.10	2069.90
1350.10	2152.60
1400.10	2246.30
1450.10	2319.50
1500.10	2389.50
1550.10	2483.70
1600.10	2546.50
1650.10	2640.40
1700.10	2716.40
1750.10	2786.90
1800.10	2881.60
1850.10	2950.90
1900.10	3033.10
1950.10	3106.90
2000.10	3205.50
2050.10	3298.30
2100.10	3371.10
2150.10	3444.10
2200.10	3551.40
2250.10	3578.50
2300.10	3667.90
2350.10	3731.80
2400.10	3851.70
2450.10	3919.10
2500.10	3994.60
2550.10	4066.90
2600.10	4159.80
2650.10	4212.50
2700.10	4337.40
2750.10	4378.30
2800.10	4484.10
2850.10	4564.70
2900.10	4625.70
2950.10	4715.90
3000.10	4812.70
3050.10	4881.50
3100.10	4982.00
3150.10	5050.50
3200.10	5137.50
3250.10	5202.80
3300.10	5303.90
3350.10	5356.90
3400.10	5463.50
3450.10	5505.10
3500.10	5582.50
3550.10	5686.50
