ProtocolTime	Work

100	133.599294
150	63.003013
200	36.934541
250	22.673448
300	16.369132
350	12.069880
400	9.813497
450	8.583471
500	6.291586
550	5.905390
600	5.393517
650	4.245676
700	4.052770
750	3.437994
800	3.243849
850	2.475139
900	2.482882
950	2.386002
1000	2.069541
1050	1.904154
1100	1.882730
1150	1.576094
1200	1.623776
1250	1.780901
1300	1.590593
1350	1.449954
1400	1.228954
1450	1.057530
1500	0.750813
1550	0.956294
1600	0.832415
1650	1.014464
1700	0.817747
1750	0.967832
1800	0.853151
1850	0.711253
1900	0.831088
1950	0.749068
2000	0.885177
2050	0.636177
2100	0.537599
2150	0.658331
2200	0.519422
2250	0.724335
2300	0.571519
2350	0.519733
2400	0.630095
2450	0.452964
2500	0.486081
2550	0.364253
2600	0.571123
2650	0.519928
2700	0.436587
2750	0.486317
2800	0.587408
2850	0.416099
2900	0.464968
2950	0.460231
3000	0.367497
3050	0.445169
3100	0.385126
3150	0.419330
3200	0.433877
3250	0.455041
3300	0.197578
3350	0.317437
3400	0.392249
3450	0.346873
3500	0.255168
3550	0.358961
