Relaxation	TimeSeparation

1.000000	0
0.995028	0
0.987603	0
0.979616	0
0.971534	0
0.963488	0
0.955503	0
0.947591	0
0.939743	0
0.931966	0
0.924245	0
0.916594	1
0.909002	1
0.901467	1
0.893989	1
0.886571	1
0.879209	1
0.871897	1
0.864643	1
0.857447	1
0.850311	2
0.843244	2
0.836239	2
0.829290	2
0.822401	2
0.815567	2
0.808784	2
0.802051	2
0.795361	2
0.788718	2
0.782118	3
0.775559	3
0.769045	3
0.762584	3
0.756190	3
0.749847	3
0.743544	3
0.737286	3
0.731086	3
0.724933	3
0.718831	4
0.712788	4
0.706791	4
0.700841	4
0.694933	4
0.689068	4
0.683234	4
0.677435	4
0.671678	4
0.665975	4
0.660322	4
0.654723	5
0.649172	5
0.643665	5
0.638198	5
0.632767	5
0.627381	5
0.622035	5
0.616733	5
0.611474	5
0.606262	5
0.601090	6
0.595969	6
0.590910	6
0.585906	6
0.580957	6
0.576052	6
0.571185	6
0.566356	6
0.561568	6
0.556813	6
0.552092	7
0.547401	7
0.542759	7
0.538169	7
0.533623	7
0.529125	7
0.524672	7
0.520262	7
0.515889	7
0.511554	7
0.507252	8
0.502989	8
0.498753	8
0.494547	8
0.490379	8
0.486243	8
0.482139	8
0.478065	8
0.474028	8
0.470019	8
0.466054	9
0.462135	9
0.458248	9
0.454394	9
0.450582	9
0.446816	9
0.443090	9
0.439404	9
0.435748	9
0.432122	9
0.428530	10
0.424981	10
0.421466	10
0.417976	10
0.414519	10
0.411084	10
0.407675	10
0.404295	10
0.400951	10
0.397640	10
0.394351	11
0.391094	11
0.387849	11
0.384633	11
0.381454	11
0.378318	11
0.375214	11
0.372134	11
0.369080	11
0.366055	11
0.363059	12
0.360097	12
0.357175	12
0.354287	12
0.351431	12
0.348593	12
0.345780	12
0.342987	12
0.340206	12
0.337438	12
0.334686	13
0.331953	13
0.329231	13
0.326525	13
0.323847	13
0.321182	13
0.318534	13
0.315905	13
0.313297	13
0.310714	13
0.308161	14
0.305625	14
0.303107	14
0.300608	14
0.298142	14
0.295707	14
0.293299	14
0.290904	14
0.288531	14
0.286175	14
0.283836	15
0.281527	15
0.279237	15
0.276974	15
0.274734	15
0.272513	15
0.270304	15
0.268107	15
0.265929	15
0.263766	15
0.261620	16
0.259498	16
0.257407	16
0.255343	16
0.253300	16
0.251269	16
0.249247	16
0.247244	16
0.245266	16
0.243310	16
0.241385	17
0.239473	17
0.237569	17
0.235683	17
0.233805	17
0.231935	17
0.230076	17
0.228231	17
0.226402	17
0.224589	17
0.222783	18
0.220989	18
0.219206	18
0.217434	18
0.215668	18
0.213914	18
0.212176	18
0.210456	18
0.208749	18
0.207064	19
0.205401	19
0.203749	19
0.202125	19
0.200515	19
0.198920	19
0.197342	19
0.195775	19
0.194218	19
0.192685	19
0.191166	20
0.189668	20
0.188184	20
0.186712	20
0.185239	20
0.183768	20
0.182296	20
0.180829	20
0.179363	20
