Lag Time	AutoCorrelation

0.000000	0.065878
0.100000	0.060677
0.200000	0.053417
0.300000	0.046419
0.400000	0.040200
0.500000	0.034817
0.600000	0.030164
0.700000	0.026146
0.800000	0.022615
0.900000	0.019552
1.000000	0.016882
1.100000	0.014570
1.200000	0.012566
1.300000	0.010840
1.400000	0.009310
1.500000	0.008031
1.600000	0.006932
1.700000	0.005988
1.800000	0.005166
1.900000	0.004445
2.000000	0.003779
2.100000	0.003246
2.200000	0.002753
2.300000	0.002338
2.400000	0.002030
2.500000	0.001812
2.600000	0.001602
2.700000	0.001380
2.800000	0.001206
2.900000	0.001061
3.000000	0.000915
3.100000	0.000819
3.200000	0.000757
3.300000	0.000750
3.400000	0.000806
3.500000	0.000877
3.600000	0.000954
3.700000	0.000998
3.800000	0.001063
3.900000	0.001160
4.000000	0.001216
4.100000	0.001241
4.200000	0.001235
4.300000	0.001251
4.400000	0.001317
4.500000	0.001374
4.600000	0.001384
4.700000	0.001354
4.800000	0.001242
4.900000	0.001045
5.000000	0.000807
5.100000	0.000539
5.200000	0.000306
5.300000	0.000124
5.400000	-0.000042
5.500000	-0.000179
5.600000	-0.000249
5.700000	-0.000276
5.800000	-0.000298
5.900000	-0.000288
6.000000	-0.000237
6.100000	-0.000186
6.200000	-0.000138
6.300000	-0.000104
6.400000	-0.000114
6.500000	-0.000116
6.600000	-0.000092
6.700000	-0.000058
6.800000	0.000020
6.900000	0.000094
7.000000	0.000137
7.100000	0.000120
7.200000	0.000064
7.300000	0.000032
7.400000	0.000016
7.500000	0.000052
7.600000	0.000082
7.700000	0.000114
7.800000	0.000156
7.900000	0.000255
8.000000	0.000322
8.100000	0.000311
8.200000	0.000242
8.300000	0.000156
8.400000	0.000071
8.500000	0.000005
8.600000	-0.000056
8.700000	-0.000087
8.800000	-0.000138
8.900000	-0.000218
9.000000	-0.000282
9.100000	-0.000329
9.200000	-0.000325
9.300000	-0.000331
9.400000	-0.000316
9.500000	-0.000246
9.600000	-0.000148
9.700000	-0.000076
9.800000	-0.000099
9.900000	-0.000148
10.000000	-0.000175
10.100000	-0.000160
10.200000	-0.000158
10.300000	-0.000127
10.400000	-0.000104
10.500000	-0.000095
10.600000	-0.000097
10.700000	-0.000109
10.800000	-0.000089
10.900000	-0.000078
11.000000	-0.000120
11.100000	-0.000149
11.200000	-0.000197
11.300000	-0.000263
11.400000	-0.000325
11.500000	-0.000381
11.600000	-0.000422
11.700000	-0.000461
11.800000	-0.000468
11.900000	-0.000447
12.000000	-0.000385
12.100000	-0.000323
12.200000	-0.000255
12.300000	-0.000195
12.400000	-0.000123
12.500000	-0.000098
12.600000	-0.000062
12.700000	-0.000068
12.800000	-0.000029
12.900000	0.000068
13.000000	0.000180
13.100000	0.000300
13.200000	0.000418
13.300000	0.000479
13.400000	0.000462
13.500000	0.000403
13.600000	0.000339
13.700000	0.000285
13.800000	0.000289
