Time	Position	CP

500.100000	128.633953	124.458373
500.200000	128.683361	124.484526
500.300000	128.715967	124.586316
500.400000	128.675222	124.709844
500.500000	128.837550	124.785097
500.600000	128.899090	124.810395
500.700000	128.908450	124.737774
500.800000	128.929598	124.735201
500.900000	128.841423	124.601253
501.000000	128.678945	124.436866
501.100000	128.513989	124.486253
501.200000	128.563468	124.513555
501.300000	128.588688	124.614670
501.400000	128.621043	124.611373
501.500000	128.661789	124.570573
501.600000	128.776425	124.587504
501.700000	128.765870	124.633155
501.800000	128.662455	124.873229
501.900000	128.649276	124.988822
502.000000	128.602813	125.131831
502.100000	128.440886	125.333302
502.200000	128.438476	125.568572
502.300000	128.623381	125.666072
502.400000	128.737698	125.716222
502.500000	128.789752	125.690079
502.600000	128.839655	125.635648
502.700000	129.055977	125.659161
502.800000	129.235424	125.620417
502.900000	129.466835	125.582523
503.000000	129.544321	125.493004
503.100000	129.525383	125.375894
503.200000	129.379190	125.309299
503.300000	129.260023	125.379094
503.400000	129.231102	125.442028
503.500000	129.363826	125.407447
503.600000	129.353376	125.485548
503.700000	129.517173	125.515920
503.800000	129.626672	125.659500
503.900000	129.636549	125.783665
504.000000	129.586472	125.875875
504.100000	129.717061	126.010617
504.200000	129.906928	126.106752
504.300000	130.077771	126.192061
504.400000	130.069464	126.300166
504.500000	129.967788	126.264200
504.600000	130.105598	126.131876
504.700000	130.064728	125.997990
504.800000	130.123208	125.989186
504.900000	130.201390	126.063133
505.000000	130.246463	126.083122
505.100000	130.275145	126.179284
505.200000	130.383406	126.352245
505.300000	130.476823	126.444275
505.400000	130.457248	126.436720
505.500000	130.281360	126.314159
505.600000	130.224384	126.128142
505.700000	130.144234	125.897926
505.800000	130.116008	125.791310
505.900000	130.054972	125.659369
506.000000	129.747727	125.509083
506.100000	129.607975	125.569960
506.200000	129.730590	125.750287
506.300000	129.899452	125.866442
506.400000	129.977064	126.005186
506.500000	130.130757	126.167196
506.600000	130.112526	126.372711
506.700000	130.174933	126.526259
506.800000	130.129324	126.711421
506.900000	130.156226	126.893270
507.000000	130.129347	127.061402
507.100000	130.190584	127.219387
507.200000	130.492954	127.358174
507.300000	130.857984	127.433300
507.400000	131.022347	127.459055
507.500000	131.305331	127.532397
507.600000	131.609980	127.575065
507.700000	131.800943	127.512474
507.800000	131.529092	127.343723
507.900000	131.567728	127.173872
508.000000	131.595646	127.107118
508.100000	131.458992	127.035139
508.200000	131.407974	127.001380
508.300000	131.322496	127.019771
508.400000	131.311083	127.133764
508.500000	131.425656	127.169717
508.600000	131.484576	127.252679
508.700000	131.423340	127.348785
508.800000	131.476593	127.373162
508.900000	131.528959	127.290935
509.000000	131.547028	127.257942
509.100000	131.568124	127.272162
509.200000	131.618272	127.275592
509.300000	131.579901	127.320951
509.400000	131.657467	127.330963
509.500000	131.849354	127.401393
509.600000	131.877573	127.352655
509.700000	131.754317	127.314464
509.800000	131.717030	127.265929
509.900000	131.745409	127.325046
510.000000	131.609009	127.342967
